DateTime;ticker;last_price
2025-03-19 18:18:00;CRM5;12.171
2025-03-19 18:18:00;GZM5;17841
2025-03-19 18:18:00;SRM5;34325
2025-03-19 18:19:02;RIM5;120870
2025-03-19 18:19:02;SiM5;88652
2025-03-19 18:19:02;CRM5;12.169
2025-03-19 18:19:02;GZM5;17833
2025-03-19 18:19:02;SRM5;34333
2025-03-19 18:20:03;RIM5;120900
2025-03-19 18:20:03;SiM5;88604
2025-03-19 18:20:03;CRM5;12.163
2025-03-19 18:20:03;GZM5;17828
2025-03-19 18:20:03;SRM5;34316
2025-03-19 18:21:05;RIM5;120890
2025-03-19 18:21:05;SiM5;88609
2025-03-19 18:21:05;CRM5;12.164
2025-03-19 18:21:05;GZM5;17825
2025-03-19 18:21:05;SRM5;34339
2025-03-19 18:22:07;RIM5;120910
2025-03-19 18:22:07;SiM5;88621
2025-03-19 18:22:07;CRM5;12.167
2025-03-19 18:22:07;GZM5;17823
2025-03-19 18:22:07;SRM5;34327
2025-03-19 18:23:08;RIM5;120890
2025-03-19 18:23:08;SiM5;88608
2025-03-19 18:23:08;CRM5;12.165
2025-03-19 18:23:08;GZM5;17820
2025-03-19 18:23:08;SRM5;34321
2025-03-19 18:24:10;RIM5;120900
2025-03-19 18:24:10;SiM5;88613
2025-03-19 18:24:10;CRM5;12.163
2025-03-19 18:24:10;GZM5;17814
2025-03-19 18:24:10;SRM5;34323
2025-03-19 18:25:11;RIM5;120940
2025-03-19 18:25:11;SiM5;88601
2025-03-19 18:25:11;CRM5;12.161
2025-03-19 18:25:11;GZM5;17815
2025-03-19 18:25:11;SRM5;34332
2025-03-19 18:26:13;RIM5;120960
2025-03-19 18:26:13;SiM5;88620
2025-03-19 18:26:13;CRM5;12.159
2025-03-19 18:26:13;GZM5;17821
2025-03-19 18:26:13;SRM5;34325
2025-03-19 18:27:15;RIM5;120910
2025-03-19 18:27:15;SiM5;88648
2025-03-19 18:27:15;CRM5;12.161
2025-03-19 18:27:15;GZM5;17815
2025-03-19 18:27:15;SRM5;34326
2025-03-19 18:28:16;RIM5;120800
2025-03-19 18:28:16;SiM5;88670
2025-03-19 18:28:16;CRM5;12.162
2025-03-19 18:28:16;GZM5;17814
2025-03-19 18:28:16;SRM5;34326
2025-03-19 18:29:18;RIM5;120840
2025-03-19 18:29:18;SiM5;88664
2025-03-19 18:29:18;CRM5;12.161
2025-03-19 18:29:18;GZM5;17808
2025-03-19 18:29:18;SRM5;34324
2025-03-19 18:30:19;RIM5;120830
2025-03-19 18:30:19;SiM5;88662
2025-03-19 18:30:19;CRM5;12.161
2025-03-19 18:30:19;GZM5;17813
2025-03-19 18:30:19;SRM5;34316
2025-03-19 18:31:21;RIM5;120630
2025-03-19 18:31:21;SiM5;88757
